Lap,Position,Last Lap Position,Diff,Driver,Team,Tyre,Lap Time,Fastest Lap,Status
34,16,17,1,Niamh Murphy,Racing Life,Hard,1:25.634,,Running
34,17,9,-8,Eli Huertez,Pulang Kabayo Racing,Soft,1:25.184,,Running
34,18,18,0,Liesje Roser,Dacia Racing Team,Hard,1:25.236,,Running
34,19,19,0,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:25.585,,Running
34,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
35,1,2,1,Jamar Henry,Trike Motorsports,Medium,1:24.583,,Running
35,2,3,1,Sydney Aspen,Villiuride Racing,Medium,1:25.952,,Running
35,3,6,3,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:23.951,,Running
35,4,4,0,Aida Haque,Scuderia Ivanov Racing,Medium,1:24.128,,Running
35,5,5,0,Aleksa Kozlov,LFL Engineering,Medium,1:24.885,,Running
35,6,7,1,Berend Boer,Orange Wheel Racing,Medium,1:24.120,,Running
35,7,8,1,Monica Niculescu,Dacia Racing Team,Medium,1:24.564,,Running
35,8,9,1,Ye Li,Racing Life,Medium,1:25.291,,Running
35,9,10,1,Mark Graham,Trike Motorsports,Hard,1:25.675,,Running
35,10,11,1,Fidan Basak,Pulang Kabayo Racing,Medium,1:25.224,,Running
35,11,14,3,Franc Abel,Orange Wheel Racing,Hard,1:24.770,,Running
35,12,1,-11,Al Fabet,Villiuride Racing,Soft,1:25.947,,Running
35,13,13,0,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:25.747,,Running
35,14,15,1,Kanno Sora,LFL Engineering,Soft,1:22.788,,Running
35,15,17,2,Eli Huertez,Pulang Kabayo Racing,Soft,1:23.312,,Running
35,16,16,0,Niamh Murphy,Racing Life,Hard,1:24.836,,Running
35,17,18,1,Liesje Roser,Dacia Racing Team,Hard,1:25.622,,Running
35,18,19,1,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:25.144,,Running
35,19,12,-7,Erwin Kramer,OHSN Racing,Soft,1:26.564,,Running
35,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
36,1,1,0,Jamar Henry,Trike Motorsports,Medium,1:24.365,,Running
36,2,3,1,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:24.635,,Running
36,3,4,1,Aida Haque,Scuderia Ivanov Racing,Medium,1:24.782,,Running
36,4,6,2,Berend Boer,Orange Wheel Racing,Medium,1:24.709,,Running
36,5,5,0,Aleksa Kozlov,LFL Engineering,Medium,1:25.366,,Running
36,6,2,-4,Sydney Aspen,Villiuride Racing,Medium,1:26.011,,Running
36,7,8,1,Ye Li,Racing Life,Medium,1:23.731,,Running
36,8,7,-1,Monica Niculescu,Dacia Racing Team,Medium,1:25.384,,Running
36,9,10,1,Fidan Basak,Pulang Kabayo Racing,Medium,1:24.159,,Running
36,10,9,-1,Mark Graham,Trike Motorsports,Hard,1:24.592,,Running
36,11,12,1,Al Fabet,Villiuride Racing,Soft,1:23.603,,Running
36,12,11,-1,Franc Abel,Orange Wheel Racing,Hard,1:24.511,,Running
36,13,13,0,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:23.988,,Running
36,14,14,0,Kanno Sora,LFL Engineering,Soft,1:25.054,,Running
36,15,15,0,Eli Huertez,Pulang Kabayo Racing,Soft,1:23.410,,Running
36,16,16,0,Niamh Murphy,Racing Life,Hard,1:25.794,,Running
36,17,17,0,Liesje Roser,Dacia Racing Team,Hard,1:24.998,,Running
36,18,18,0,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:26.533,,Running
36,19,19,0,Erwin Kramer,OHSN Racing,Soft,1:25.276,,Running
36,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
37,1,1,0,Jamar Henry,Trike Motorsports,Medium,1:24.907,,Running
37,2,2,0,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:24.256,,Running
37,3,3,0,Aida Haque,Scuderia Ivanov Racing,Medium,1:25.130,,Running
37,4,7,3,Ye Li,Racing Life,Medium,1:23.675,,Running
37,5,6,1,Sydney Aspen,Villiuride Racing,Medium,1:24.997,,Running
37,6,4,-2,Berend Boer,Orange Wheel Racing,Medium,1:25.203,,Running
37,7,5,-2,Aleksa Kozlov,LFL Engineering,Medium,1:25.684,,Running
37,8,8,0,Monica Niculescu,Dacia Racing Team,Medium,1:25.398,,Running
37,9,10,1,Mark Graham,Trike Motorsports,Hard,1:23.540,,Running
37,10,9,-1,Fidan Basak,Pulang Kabayo Racing,Medium,1:25.584,,Running
37,11,11,0,Al Fabet,Villiuride Racing,Soft,1:23.032,,Running
37,12,13,1,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:23.720,,Running
37,13,12,-1,Franc Abel,Orange Wheel Racing,Hard,1:24.838,,Running
37,14,14,0,Kanno Sora,LFL Engineering,Soft,1:24.225,,Running
37,15,15,0,Eli Huertez,Pulang Kabayo Racing,Soft,1:23.634,,Running
37,16,16,0,Niamh Murphy,Racing Life,Hard,1:24.025,,Running
37,17,18,1,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:24.361,,Running
37,18,17,-1,Liesje Roser,Dacia Racing Team,Hard,1:25.641,,Running
37,19,19,0,Erwin Kramer,OHSN Racing,Soft,1:24.004,,Running
37,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
38,1,6,5,Berend Boer,Orange Wheel Racing,Medium,1:23.658,,Running
38,2,2,0,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:25.422,,Running
38,3,3,0,Aida Haque,Scuderia Ivanov Racing,Medium,1:25.352,,Running
38,4,5,1,Sydney Aspen,Villiuride Racing,Medium,1:25.517,,Running
38,5,4,-1,Ye Li,Racing Life,Medium,1:25.863,,Running
38,6,7,1,Aleksa Kozlov,LFL Engineering,Medium,1:25.564,,Running
38,7,11,4,Al Fabet,Villiuride Racing,Soft,1:22.424,,Running
38,8,9,1,Mark Graham,Trike Motorsports,Hard,1:26.040,,Running
38,9,12,3,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:25.014,,Running
38,10,13,3,Franc Abel,Orange Wheel Racing,Hard,1:25.869,,Running
38,11,14,3,Kanno Sora,LFL Engineering,Soft,1:25.122,,Running
38,12,1,-11,Jamar Henry,Trike Motorsports,Soft,1:25.212,,Running
38,13,15,2,Eli Huertez,Pulang Kabayo Racing,Soft,1:24.755,,Running
38,14,8,-6,Monica Niculescu,Dacia Racing Team,Soft,1:25.429,,Running
38,15,16,1,Niamh Murphy,Racing Life,Hard,1:26.008,,Running
38,16,17,1,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:23.896,,Running
38,17,10,-7,Fidan Basak,Pulang Kabayo Racing,Soft,1:25.334,,Running
38,18,18,0,Liesje Roser,Dacia Racing Team,Hard,1:24.450,,Running
38,19,19,0,Erwin Kramer,OHSN Racing,Soft,1:24.899,,Running
38,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
39,1,2,1,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:26.034,,Running
39,2,5,3,Ye Li,Racing Life,Medium,1:24.168,,Running
39,3,7,4,Al Fabet,Villiuride Racing,Soft,1:23.994,,Running
39,4,8,4,Mark Graham,Trike Motorsports,Hard,1:23.754,,Running
39,5,10,5,Franc Abel,Orange Wheel Racing,Hard,1:24.179,,Running
39,6,9,3,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:25.651,,Running
39,7,11,4,Kanno Sora,LFL Engineering,Soft,1:24.632,,Running
39,8,12,4,Jamar Henry,Trike Motorsports,Soft,1:23.857,,Running
39,9,13,4,Eli Huertez,Pulang Kabayo Racing,Soft,1:23.827,,Running
39,10,1,-9,Berend Boer,Orange Wheel Racing,Soft,1:24.871,,Running
39,11,3,-8,Aida Haque,Scuderia Ivanov Racing,Soft,1:24.730,,Running
39,12,4,-8,Sydney Aspen,Villiuride Racing,Soft,1:25.213,,Running
39,13,6,-7,Aleksa Kozlov,LFL Engineering,Soft,1:24.565,,Running
39,14,15,1,Niamh Murphy,Racing Life,Hard,1:24.512,,Running
39,15,14,-1,Monica Niculescu,Dacia Racing Team,Soft,1:24.401,,Running
39,16,16,0,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:24.505,,Running
39,17,17,0,Fidan Basak,Pulang Kabayo Racing,Soft,1:25.192,,Running
39,18,18,0,Liesje Roser,Dacia Racing Team,Hard,1:25.901,,Running
39,19,19,0,Erwin Kramer,OHSN Racing,Soft,1:25.938,,Running
39,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
40,1,4,3,Mark Graham,Trike Motorsports,Hard,1:24.818,,Running
40,2,3,1,Al Fabet,Villiuride Racing,Soft,1:25.772,,Running
40,3,5,2,Franc Abel,Orange Wheel Racing,Hard,1:25.956,,Running
40,4,6,2,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:25.715,,Running
40,5,8,3,Jamar Henry,Trike Motorsports,Soft,1:23.371,,Running
40,6,7,1,Kanno Sora,LFL Engineering,Soft,1:24.306,,Running
40,7,11,4,Aida Haque,Scuderia Ivanov Racing,Soft,1:23.808,,Running
40,8,10,2,Berend Boer,Orange Wheel Racing,Soft,1:23.875,,Running
40,9,9,0,Eli Huertez,Pulang Kabayo Racing,Soft,1:24.990,,Running
40,10,13,3,Aleksa Kozlov,LFL Engineering,Soft,1:22.759,,Running
40,11,1,-10,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:24.118,,Running
40,12,2,-10,Ye Li,Racing Life,Soft,1:23.823,,Running
40,13,12,-1,Sydney Aspen,Villiuride Racing,Soft,1:24.374,,Running
40,14,14,0,Niamh Murphy,Racing Life,Hard,1:24.490,,Running
40,15,15,0,Monica Niculescu,Dacia Racing Team,Soft,1:24.521,,Running
40,16,17,1,Fidan Basak,Pulang Kabayo Racing,Soft,1:23.873,,Running
40,17,16,-1,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:26.170,,Running
40,18,18,0,Liesje Roser,Dacia Racing Team,Hard,1:24.963,,Running
40,19,19,0,Erwin Kramer,OHSN Racing,Soft,1:24.015,,Running
40,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
41,1,1,0,Mark Graham,Trike Motorsports,Hard,1:25.416,,Running
41,2,2,0,Al Fabet,Villiuride Racing,Soft,1:25.188,,Running
41,3,3,0,Franc Abel,Orange Wheel Racing,Hard,1:24.203,,Running
41,4,4,0,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:25.025,,Running
41,5,5,0,Jamar Henry,Trike Motorsports,Soft,1:23.530,,Running
41,6,6,0,Kanno Sora,LFL Engineering,Soft,1:24.697,,Running
41,7,7,0,Aida Haque,Scuderia Ivanov Racing,Soft,1:23.961,,Running
41,8,8,0,Berend Boer,Orange Wheel Racing,Soft,1:23.407,,Running
41,9,9,0,Eli Huertez,Pulang Kabayo Racing,Soft,1:23.797,,Running
41,10,11,1,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:23.587,,Running
41,11,13,2,Sydney Aspen,Villiuride Racing,Soft,1:23.433,,Running
41,12,10,-2,Aleksa Kozlov,LFL Engineering,Soft,1:24.555,,Running
41,13,12,-1,Ye Li,Racing Life,Soft,1:24.607,,Running
41,14,14,0,Niamh Murphy,Racing Life,Hard,1:25.109,,Running
41,15,15,0,Monica Niculescu,Dacia Racing Team,Soft,1:24.939,,Running
41,16,16,0,Fidan Basak,Pulang Kabayo Racing,Soft,1:23.576,,Running
41,17,18,1,Liesje Roser,Dacia Racing Team,Hard,1:25.221,,Running
41,18,17,-1,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:26.517,,Running
41,19,19,0,Erwin Kramer,OHSN Racing,Soft,1:25.386,,Running
41,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
42,1,2,1,Al Fabet,Villiuride Racing,Soft,1:24.272,,Running
42,2,1,-1,Mark Graham,Trike Motorsports,Hard,1:25.428,,Running
42,3,3,0,Franc Abel,Orange Wheel Racing,Hard,1:24.507,,Running
42,4,4,0,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:24.437,,Running
42,5,6,1,Kanno Sora,LFL Engineering,Soft,1:23.990,,Running
42,6,5,-1,Jamar Henry,Trike Motorsports,Soft,1:25.245,,Running
42,7,8,1,Berend Boer,Orange Wheel Racing,Soft,1:24.428,,Running
42,8,11,3,Sydney Aspen,Villiuride Racing,Soft,1:22.527,,Running
42,9,9,0,Eli Huertez,Pulang Kabayo Racing,Soft,1:24.466,,Running
42,10,7,-3,Aida Haque,Scuderia Ivanov Racing,Soft,1:24.715,,Running
42,11,12,1,Aleksa Kozlov,LFL Engineering,Soft,1:23.920,,Running
42,12,10,-2,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:24.476,,Running
42,13,13,0,Ye Li,Racing Life,Soft,1:25.165,,Running
42,14,16,2,Fidan Basak,Pulang Kabayo Racing,Soft,1:23.639,,Running
42,15,14,-1,Niamh Murphy,Racing Life,Hard,1:25.531,,Running
42,16,15,-1,Monica Niculescu,Dacia Racing Team,Soft,1:25.653,,Running
42,17,18,1,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:26.284,,Running
42,18,19,1,Erwin Kramer,OHSN Racing,Soft,1:24.156,,Running
42,19,17,-2,Liesje Roser,Dacia Racing Team,Hard,1:26.911,,Running
42,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
43,1,1,0,Al Fabet,Villiuride Racing,Soft,1:24.817,,Running
43,2,2,0,Mark Graham,Trike Motorsports,Hard,1:24.352,,Running
43,3,3,0,Franc Abel,Orange Wheel Racing,Hard,1:24.658,,Running
43,4,4,0,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:25.762,,Running
43,5,5,0,Kanno Sora,LFL Engineering,Soft,1:23.824,,Running
43,6,8,2,Sydney Aspen,Villiuride Racing,Soft,1:22.648,,Running
43,7,6,-1,Jamar Henry,Trike Motorsports,Soft,1:25.415,,Running
43,8,12,4,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:23.221,,Running
43,9,9,0,Eli Huertez,Pulang Kabayo Racing,Soft,1:23.872,,Running
43,10,10,0,Aida Haque,Scuderia Ivanov Racing,Soft,1:24.365,,Running
43,11,7,-4,Berend Boer,Orange Wheel Racing,Soft,1:25.015,,Running
43,12,11,-1,Aleksa Kozlov,LFL Engineering,Soft,1:25.224,,Running
43,13,13,0,Ye Li,Racing Life,Soft,1:24.499,,Running
43,14,14,0,Fidan Basak,Pulang Kabayo Racing,Soft,1:24.462,,Running
43,15,15,0,Niamh Murphy,Racing Life,Hard,1:25.015,,Running
43,16,16,0,Monica Niculescu,Dacia Racing Team,Soft,1:24.327,,Running
43,17,18,1,Erwin Kramer,OHSN Racing,Soft,1:25.100,,Running
43,18,17,-1,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:26.528,,Running
43,19,19,0,Liesje Roser,Dacia Racing Team,Hard,1:26.791,,Running
43,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
44,1,2,1,Mark Graham,Trike Motorsports,Hard,1:25.294,,Running
44,2,1,-1,Al Fabet,Villiuride Racing,Soft,1:25.428,,Running
44,3,3,0,Franc Abel,Orange Wheel Racing,Hard,1:24.072,,Running
44,4,4,0,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:24.963,,Running
44,5,5,0,Kanno Sora,LFL Engineering,Soft,1:23.424,,Running
44,6,7,1,Jamar Henry,Trike Motorsports,Soft,1:23.081,,Running
44,7,6,-1,Sydney Aspen,Villiuride Racing,Soft,1:24.626,,Running
44,8,8,0,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:24.696,,Running
44,9,10,1,Aida Haque,Scuderia Ivanov Racing,Soft,1:23.732,,Running
44,10,11,1,Berend Boer,Orange Wheel Racing,Soft,1:24.209,,Running
44,11,12,1,Aleksa Kozlov,LFL Engineering,Soft,1:22.758,,Running
44,12,9,-3,Eli Huertez,Pulang Kabayo Racing,Soft,1:25.359,,Running
44,13,13,0,Ye Li,Racing Life,Soft,1:23.729,,Running
44,14,14,0,Fidan Basak,Pulang Kabayo Racing,Soft,1:24.456,,Running
44,15,16,1,Monica Niculescu,Dacia Racing Team,Soft,1:24.588,,Running
44,16,15,-1,Niamh Murphy,Racing Life,Hard,1:26.122,,Running
44,17,17,0,Erwin Kramer,OHSN Racing,Soft,1:24.245,,Running
44,18,19,1,Liesje Roser,Dacia Racing Team,Hard,1:24.041,,Running
44,19,18,-1,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:25.448,,Running
44,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
45,1,1,0,Mark Graham,Trike Motorsports,Hard,1:24.397,,Running
45,2,2,0,Al Fabet,Villiuride Racing,Soft,1:24.267,,Running
45,3,3,0,Franc Abel,Orange Wheel Racing,Hard,1:24.396,,Running
45,4,4,0,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:25.875,,Running
45,5,5,0,Kanno Sora,LFL Engineering,Soft,1:24.586,,Running
45,6,6,0,Jamar Henry,Trike Motorsports,Soft,1:24.375,,Running
45,7,7,0,Sydney Aspen,Villiuride Racing,Soft,1:23.193,,Running
45,8,9,1,Aida Haque,Scuderia Ivanov Racing,Soft,1:23.849,,Running
45,9,10,1,Berend Boer,Orange Wheel Racing,Soft,1:24.061,,Running
45,10,8,-2,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:25.301,,Running
45,11,11,0,Aleksa Kozlov,LFL Engineering,Soft,1:24.678,,Running
45,12,12,0,Eli Huertez,Pulang Kabayo Racing,Soft,1:24.094,,Running
45,13,13,0,Ye Li,Racing Life,Soft,1:24.386,,Running
45,14,15,1,Monica Niculescu,Dacia Racing Team,Soft,1:25.173,,Running
45,15,14,-1,Fidan Basak,Pulang Kabayo Racing,Soft,1:25.042,,Running
45,16,16,0,Niamh Murphy,Racing Life,Hard,1:25.247,,Running
45,17,17,0,Erwin Kramer,OHSN Racing,Soft,1:26.118,,Running
45,18,18,0,Liesje Roser,Dacia Racing Team,Hard,1:25.104,,Running
45,19,19,0,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:26.503,,Running
45,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
46,1,2,1,Al Fabet,Villiuride Racing,Soft,1:24.562,,Running
46,2,1,-1,Mark Graham,Trike Motorsports,Hard,1:24.753,,Running
46,3,3,0,Franc Abel,Orange Wheel Racing,Hard,1:24.811,,Running
46,4,5,1,Kanno Sora,LFL Engineering,Soft,1:24.013,,Running
46,5,7,2,Sydney Aspen,Villiuride Racing,Soft,1:23.215,,Running
46,6,4,-2,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:25.762,,Running
46,7,6,-1,Jamar Henry,Trike Motorsports,Soft,1:24.880,,Running
46,8,8,0,Aida Haque,Scuderia Ivanov Racing,Soft,1:25.105,,Running
46,9,10,1,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:25.094,,Running
46,10,9,-1,Berend Boer,Orange Wheel Racing,Soft,1:24.639,,Running
46,11,11,0,Aleksa Kozlov,LFL Engineering,Soft,1:24.065,,Running
46,12,13,1,Ye Li,Racing Life,Soft,1:24.038,,Running
46,13,12,-1,Eli Huertez,Pulang Kabayo Racing,Soft,1:25.474,,Running
46,14,15,1,Fidan Basak,Pulang Kabayo Racing,Soft,1:23.662,,Running
46,15,14,-1,Monica Niculescu,Dacia Racing Team,Soft,1:24.282,,Running
46,16,16,0,Niamh Murphy,Racing Life,Hard,1:25.788,,Running
46,17,17,0,Erwin Kramer,OHSN Racing,Soft,1:25.625,,Running
46,18,18,0,Liesje Roser,Dacia Racing Team,Hard,1:25.682,,Running
46,19,19,0,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:25.658,,Running
46,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
47,1,1,0,Al Fabet,Villiuride Racing,Soft,1:23.781,,Running
47,2,2,0,Mark Graham,Trike Motorsports,Hard,1:24.893,,Running
47,3,3,0,Franc Abel,Orange Wheel Racing,Hard,1:23.898,,Running
47,4,7,3,Jamar Henry,Trike Motorsports,Soft,1:23.420,,Running
47,5,5,0,Sydney Aspen,Villiuride Racing,Soft,1:24.311,,Running
47,6,4,-2,Kanno Sora,LFL Engineering,Soft,1:25.980,,Running
47,7,8,1,Aida Haque,Scuderia Ivanov Racing,Soft,1:23.138,,Running
47,8,6,-2,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:25.346,,Running
47,9,10,1,Berend Boer,Orange Wheel Racing,Soft,1:23.640,,Running
47,10,11,1,Aleksa Kozlov,LFL Engineering,Soft,1:24.001,,Running
47,11,9,-2,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:24.481,,Running
47,12,12,0,Ye Li,Racing Life,Soft,1:24.291,,Running
47,13,13,0,Eli Huertez,Pulang Kabayo Racing,Soft,1:25.597,,Running
47,14,14,0,Fidan Basak,Pulang Kabayo Racing,Soft,1:24.016,,Running
47,15,15,0,Monica Niculescu,Dacia Racing Team,Soft,1:23.858,,Running
47,16,16,0,Niamh Murphy,Racing Life,Hard,1:24.288,,Running
47,17,17,0,Erwin Kramer,OHSN Racing,Soft,1:24.905,,Running
47,18,18,0,Liesje Roser,Dacia Racing Team,Hard,1:25.942,,Running
47,19,19,0,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:26.601,,Running
47,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
48,1,1,0,Al Fabet,Villiuride Racing,Soft,1:24.420,,Running
48,2,2,0,Mark Graham,Trike Motorsports,Hard,1:24.983,,Running
48,3,3,0,Franc Abel,Orange Wheel Racing,Hard,1:23.763,,Running
48,4,4,0,Jamar Henry,Trike Motorsports,Soft,1:25.045,,Running
48,5,5,0,Sydney Aspen,Villiuride Racing,Soft,1:24.865,,Running
48,6,7,1,Aida Haque,Scuderia Ivanov Racing,Soft,1:24.657,,Running
48,7,8,1,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:24.531,,Running
48,8,6,-2,Kanno Sora,LFL Engineering,Soft,1:26.347,,Running
48,9,9,0,Berend Boer,Orange Wheel Racing,Soft,1:24.190,,Running
48,10,10,0,Aleksa Kozlov,LFL Engineering,Soft,1:24.372,,Running
48,11,11,0,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:24.354,,Running
48,12,12,0,Ye Li,Racing Life,Soft,1:25.586,,Running
48,13,13,0,Eli Huertez,Pulang Kabayo Racing,Soft,1:25.724,,Running
48,14,15,1,Monica Niculescu,Dacia Racing Team,Soft,1:23.322,,Running
48,15,14,-1,Fidan Basak,Pulang Kabayo Racing,Soft,1:25.095,,Running
48,16,16,0,Niamh Murphy,Racing Life,Hard,1:23.833,,Running
48,17,17,0,Erwin Kramer,OHSN Racing,Soft,1:25.877,,Running
48,18,18,0,Liesje Roser,Dacia Racing Team,Hard,1:26.653,,Running
48,19,19,0,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:24.405,,Running
48,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
49,1,1,0,Al Fabet,Villiuride Racing,Soft,1:24.641,,Running
49,2,2,0,Mark Graham,Trike Motorsports,Hard,1:25.207,,Running
49,3,3,0,Franc Abel,Orange Wheel Racing,Hard,1:25.248,,Running
49,4,4,0,Jamar Henry,Trike Motorsports,Soft,1:24.375,,Running
49,5,5,0,Sydney Aspen,Villiuride Racing,Soft,1:24.726,,Running
49,6,6,0,Aida Haque,Scuderia Ivanov Racing,Soft,1:23.659,,Running
49,7,10,3,Aleksa Kozlov,LFL Engineering,Soft,1:23.689,,Running
49,8,9,1,Berend Boer,Orange Wheel Racing,Soft,1:24.743,,Running
49,9,11,2,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:23.403,,Running
49,10,7,-3,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:25.721,,Running
49,11,8,-3,Kanno Sora,LFL Engineering,Soft,1:26.055,,Running
49,12,12,0,Ye Li,Racing Life,Soft,1:23.460,,Running
49,13,13,0,Eli Huertez,Pulang Kabayo Racing,Soft,1:24.425,,Running
49,14,14,0,Monica Niculescu,Dacia Racing Team,Soft,1:24.390,,Running
49,15,15,0,Fidan Basak,Pulang Kabayo Racing,Soft,1:23.259,,Running
49,16,16,0,Niamh Murphy,Racing Life,Hard,1:26.542,,Running
49,17,17,0,Erwin Kramer,OHSN Racing,Soft,1:24.814,,Running
49,18,19,1,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:26.133,,Running
49,19,18,-1,Liesje Roser,Dacia Racing Team,Hard,1:26.206,,Running
49,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
50,1,1,0,Al Fabet,Villiuride Racing,Soft,1:24.440,,Running
50,2,2,0,Mark Graham,Trike Motorsports,Hard,1:25.417,,Running
50,3,3,0,Franc Abel,Orange Wheel Racing,Hard,1:24.190,,Running
50,4,4,0,Jamar Henry,Trike Motorsports,Soft,1:24.547,,Running
50,5,5,0,Sydney Aspen,Villiuride Racing,Soft,1:23.124,,Running
50,6,8,2,Berend Boer,Orange Wheel Racing,Soft,1:24.145,,Running
50,7,9,2,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:24.222,,Running
50,8,6,-2,Aida Haque,Scuderia Ivanov Racing,Soft,1:25.775,,Running
50,9,7,-2,Aleksa Kozlov,LFL Engineering,Soft,1:25.167,,Running
50,10,10,0,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:26.082,,Running
50,11,11,0,Kanno Sora,LFL Engineering,Soft,1:24.817,,Running
50,12,12,0,Ye Li,Racing Life,Soft,1:24.590,,Running
50,13,13,0,Eli Huertez,Pulang Kabayo Racing,Soft,1:25.481,,Running
50,14,14,0,Monica Niculescu,Dacia Racing Team,Soft,1:24.955,,Running
50,15,15,0,Fidan Basak,Pulang Kabayo Racing,Soft,1:25.685,,Running
50,16,16,0,Niamh Murphy,Racing Life,Hard,1:24.527,,Running
50,17,17,0,Erwin Kramer,OHSN Racing,Soft,1:25.597,,Running
50,18,19,1,Liesje Roser,Dacia Racing Team,Hard,1:24.213,,Running
50,19,18,-1,Thorleif Valtyrsdotter,OHSN Racing,Hard,1:25.349,,Running
50,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.764,,Mechanical failure on lap 20
